Account,total_pnl,avg_pnl,median_pnl,win_rate,trade_count,avg_size_usd,pnl_std,total_fees,avg_fee_ratio,long_pct,short_pct,avg_sentiment,unique_coins,profit_factor,sharpe,contrarian_ratio,cluster,x,y
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,34.2823955552067,0.0,0.33019361590790164,1911,6279.002286760858,325.75560971336085,3384.88221858,0.00015995246271479992,0.15384615384615385,0.11983254840397697,53.02564102564103,10,19.35478213876635,0.10523961685685933,0.07326007326007326,2,-0.30958060673595983,-1.4708423371137724
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,2.928191023869849,0.0,0.26196826243499133,14998,820.4285131350847,68.6130409480178,3792.54309547,0.0002957805432359245,0.10268035738098413,0.8936524869982664,64.20642752366982,94,11.579831229460947,0.0426768874169021,0.6997599679957328,2,-1.5319945466163891,-0.04409601087888064
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,41.47409637418087,0.0,0.2853866317169069,3052,3601.689298820446,220.3877348338997,2821.95879926,0.00026161622717567676,0.4226736566186107,0.3161861074705111,70.54390563564876,7,44.85499298118481,0.1881869533503703,0.32175622542595017,1,0.4294658098275551,-0.355136200253753
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,6.81210350887536,0.0,0.3457866068567767,15605,1273.1950003204101,68.2349036218229,2287.9554331042,8.411224803590625e-05,0.8380006408202499,0.03274591477090676,59.14745273950657,15,46.461951888535175,0.09983312274653397,0.16129445690483818,2,-0.9212181928210158,0.46105644440674526
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,174.6918088057554,8.418833,0.5731414868105515,417,2066.6892086330936,976.068751360001,189.93800451,0.00022830309956924032,0.06235011990407674,0.0,70.9832134292566,9,383.5276908374844,0.17897490167813418,0.05275779376498801,1,1.2516819100943635,-1.601629270812552
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,120.50731710657195,0.0,0.40852575488454707,563,2979.4417761989343,474.8098365007934,548.72926461,0.00031624485617510865,0.8170515097690941,0.0,56.51687388987567,5,123.64133627759061,0.2538012228109571,0.3605683836589698,0,1.6891697414034377,0.6872064532795267
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,40.746875941947565,0.0,0.32209737827715357,534,8330.193370786517,288.26612386189584,541.7456094464,9.517375042842583e-05,0.7640449438202247,0.0,35.09925093632959,5,40.1642973631756,0.14135159343755843,0.649812734082397,0,0.3401048712104976,1.3120479674501084
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,145.48174829898866,0.0,0.3371343243059798,14733,3837.885375008484,1374.0264020518678,15995.31825182,0.002155059683960593,0.31256363266137244,0.49949093870902056,54.610941424014115,69,134.00062217862524,0.10587987835003546,0.3943528134120681,2,-0.30324708830115815,-0.0028429194157010788
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4.648305254443986,0.0,0.4386109962794543,4838,22504.555828854896,332.0834053908585,28643.173715,0.00024175503751106166,0.6260851591566763,0.3739148408433237,28.20008267879289,7,0.7851260144829241,0.01399740299872251,0.6068623398098387,0,-1.1005916022465205,1.8872056177225118
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,44.364090516232544,0.0,0.46758210645526616,21192,3210.472831257078,567.7627628499143,8596.705666219,0.00013215756442983784,0.9998584371460929,0.0,32.08012457531144,3,109.3632657349664,0.07813842932133258,0.7981313703284258,0,-0.9222643545343167,2.799467188182881
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,83.49831952025748,0.0,0.32752745172283226,2641,7852.098337750852,1530.5250331047494,4773.09848443,0.00017498547071545103,0.3411586520257478,0.6595986368799697,44.08254449072321,26,46.20040055162076,0.05455534389455677,0.5058689890193109,2,-0.3976132517751213,0.0008374675744937187
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,20.806304824731235,0.0,0.428230141349791,40184,1844.2118863229146,264.1238803160226,13352.89970895,0.00021392548692598164,0.3067390005972526,0.28561118853274936,47.93149014533147,16,62.61415657279319,0.07877479612913689,0.26311467250647025,2,-2.3159321313551735,0.6723962730645708
